Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Flexible Pricing Models for Cloud Computing Based on Group Decision Making Under Consensus","Global Journal of Flexible Systems Management","","16","2","10.1007/s40171-015-0093-1","Arpan Kumar KarAtanu Rakshit","2015","http://link.springer.com/article/10.1007/s40171-015-0093-1","Article"
"A multi-criteria decision making heuristic for workflow scheduling in cloud computing environment","The Journal of Supercomputing","","79","1","10.1007/s11227-022-04677-z","Célestin Tshimanga KamangaEmmanuel BugingoSimon Ntumba BadibangaEugène Mbuyi Mukendi","2023","http://link.springer.com/article/10.1007/s11227-022-04677-z","Article"
"“On-demand” pricing and capacity management in cloud computing","Journal of Revenue and Pricing Management","","18","3","10.1057/s41272-018-0146-0","Tarun JainJishnu Hazra","2019","http://link.springer.com/article/10.1057/s41272-018-0146-0","Article"
"Cloud Computing – A Classification, Business Models, and Research Directions","Business & Information Systems Engineering","","1","5","10.1007/s12599-009-0071-2","Prof. Dr. Christof WeinhardtDipl.-Inform.-Wirt Arun AnandasivamDr. Benjamin BlauDipl.-Inform. Nikolay BorissovDipl.-Math. Thomas MeinlDipl.-Inform.-Wirt Wibke MichalkDr. Jochen Stößer","2009","http://link.springer.com/article/10.1007/s12599-009-0071-2","Article"
"Network flow analysis for detection and mitigation of Fraudulent Resource Consumption (FRC) attacks in multimedia cloud computing","Multimedia Tools and Applications","","78","4","10.1007/s11042-017-5522-z","Kriti BhushanBrij B. Gupta","2019","http://link.springer.com/article/10.1007/s11042-017-5522-z","Article"
"Bi-objective scheduling algorithm for scientific workflows on cloud computing platform with makespan and monetary cost minimization approach","Complex & Intelligent Systems","","8","2","10.1007/s40747-021-00528-1","Mirsaeid Hosseini ShirvaniReza Noorian Talouki","2022","http://link.springer.com/article/10.1007/s40747-021-00528-1","Article"
"Evaluation of the Impact of EDoS Attacks Against Cloud Computing Services","Arabian Journal for Science and Engineering","","40","3","10.1007/s13369-014-1548-y","F. Al-HaidariM. SqalliK. Salah","2015","http://link.springer.com/article/10.1007/s13369-014-1548-y","Article"
"Multi-Layer Resource Management in Cloud Computing","Journal of Network and Systems Management","","22","1","10.1007/s10922-012-9261-1","Li ChunlinLi Layuan","2014","http://link.springer.com/article/10.1007/s10922-012-9261-1","Article"
"A benefit-aware on-demand provisioning approach for multi-tier applications in cloud computing","Frontiers of Computer Science","","7","4","10.1007/s11704-013-2201-8","Heng WuWenbo ZhangJianhua ZhangJun WeiTao Huang","2013","http://link.springer.com/article/10.1007/s11704-013-2201-8","Article"
"A survey on optimal utilization of preemptible VM instances in cloud computing","The Journal of Supercomputing","","74","11","10.1007/s11227-018-2509-0","Ashish Kumar MishraBrajesh Kumar UmraoDharmendra K. Yadav","2018","http://link.springer.com/article/10.1007/s11227-018-2509-0","Article"
"Distributed denial of service (DDoS) attack mitigation in software defined network (SDN)-based cloud computing environment","Journal of Ambient Intelligence and Humanized Computing","","10","5","10.1007/s12652-018-0800-9","Kriti BhushanB. B. Gupta","2019","http://link.springer.com/article/10.1007/s12652-018-0800-9","Article"
"A Survey on Cloud Computing Simulation and Modeling","SN Computer Science","","1","5","10.1007/s42979-020-00273-1","Ilyas Bambrik","2020","http://link.springer.com/article/10.1007/s42979-020-00273-1","Article"
"A Survey on Spot Pricing in Cloud Computing","Journal of Network and Systems Management","","26","4","10.1007/s10922-017-9444-x","Dinesh KumarGaurav BaranwalZahid RazaDeo Prakash Vidyarthi","2018","http://link.springer.com/article/10.1007/s10922-017-9444-x","Article"
"Scheduling Flexible Demand in Cloud Computing Spot Markets","Business & Information Systems Engineering","","62","1","10.1007/s12599-019-00592-5","Robert KellerLukas HäfnerThomas SachsGilbert Fridgen","2020","http://link.springer.com/article/10.1007/s12599-019-00592-5","Article"
"Cost-Effective Algorithm for Workflow Scheduling in Cloud Computing Under Deadline Constraint","Arabian Journal for Science and Engineering","","44","4","10.1007/s13369-018-3664-6","Aida A. NasrNirmeen A. El-BahnasawyGamal AttiyaAyman El-Sayed","2019","http://link.springer.com/article/10.1007/s13369-018-3664-6","Article"
"IoT, big data, and cloud computing value chain: pricing issues and solutions","Annals of Telecommunications","","73","7 - 8","10.1007/s12243-018-0643-6","Mauro FemminellaMatteo PergolesiGianluca Reali","2018","http://link.springer.com/article/10.1007/s12243-018-0643-6","Article"
"Decision-making in cloud computing environments: A cost and risk based approach","Information Systems Frontiers","","14","4","10.1007/s10796-011-9317-x","Benedikt MartensFrank Teuteberg","2012","http://link.springer.com/article/10.1007/s10796-011-9317-x","Article"
"Determinant factors of cloud-sourcing decisions: reflecting on the IT outsourcing literature in the era of cloud computing","Journal of Information Technology","","31","1","10.1057/jit.2014.25","Stephan SchneiderAli Sunyaev","2016","http://link.springer.com/article/10.1057/jit.2014.25","Article"
"Service models and pricing schemes for cloud computing","Cluster Computing","","17","2","10.1007/s10586-013-0296-1","Se-Hak ChunByong-Sam Choi","2014","http://link.springer.com/article/10.1007/s10586-013-0296-1","Article"
"An adaptive symbiotic organisms search for constrained task scheduling in cloud computing","Journal of Ambient Intelligence and Humanized Computing","","14","7","10.1007/s12652-021-03632-9","Mohammed AbdullahiMd Asri NgadiSalihu Idi DishingShafi’i Muhammad Abdulhamid","2023","http://link.springer.com/article/10.1007/s12652-021-03632-9","Article"
"Adaptive market-oriented combinatorial double auction resource allocation model in cloud computing","The Journal of Supercomputing","","78","1","10.1007/s11227-021-03918-x","Asif UmerBabar NazirZulfiqar Ahmad","2022","http://link.springer.com/article/10.1007/s11227-021-03918-x","Article"
"Correcting a financial brokerage model for cloud computing: closing the window of opportunity for commercialisation","Journal of Cloud Computing","","3","1","10.1186/2192-113X-3-2","John CartlidgePhilip Clamp","2014","http://link.springer.com/article/10.1186/2192-113X-3-2","Article"
"Shareholder wealth implications of software firms’ transition to cloud computing: a marketing perspective","Journal of the Academy of Marketing Science","","50","3","10.1007/s11747-021-00818-7","Mehdi NezamiKapil R. TuliShantanu Dutta","2022","http://link.springer.com/article/10.1007/s11747-021-00818-7","Article"
"Cloud computing: state-of-the-art and research challenges","Journal of Internet Services and Applications","","1","1","10.1007/s13174-010-0007-6","Qi ZhangLu ChengRaouf Boutaba","2010","http://link.springer.com/article/10.1007/s13174-010-0007-6","Article"
"Availability and reliability analysis of cloud computing under economic denial of sustainability (EDoS) attack: a semi-Markov approach","Cluster Computing","","24","3","10.1007/s10586-021-03257-9","K. C. LalropuiaVandana Khaitan (nee Gupta)","2021","http://link.springer.com/article/10.1007/s10586-021-03257-9","Article"
"A financial brokerage model for cloud computing","Journal of Cloud Computing: Advances, Systems and Applications","","1","1","10.1186/2192-113X-1-2","Owen RogersDave Cliff","2012","http://link.springer.com/article/10.1186/2192-113X-1-2","Article"
"A novel optimized approach for resource reservation in cloud computing using producer–consumer theory of microeconomics","The Journal of Supercomputing","","75","11","10.1007/s11227-019-02951-1","Alireza MohammadiMohammad Hossein Rezvani","2019","http://link.springer.com/article/10.1007/s11227-019-02951-1","Article"
"Towards a multi-QoS human-centric cloud computing load balance resource allocation method","The Journal of Supercomputing","","72","7","10.1007/s11227-015-1472-2","Lixia LiuHong MeiBing Xie","2016","http://link.springer.com/article/10.1007/s11227-015-1472-2","Article"
"Reliability computing and management considering the network traffic for a cloud computing","Annals of Operations Research","","244","1","10.1007/s10479-016-2140-5","Yoshinobu TamuraShigeru Yamada","2016","http://link.springer.com/article/10.1007/s10479-016-2140-5","Article"
"Network virtualization for cloud computing","annals of telecommunications - annales des télécommunications","","65","11 - 12","10.1007/s12243-010-0194-y","Fabio BaroncelliBarbara MartiniPiero Castoldi","2010","http://link.springer.com/article/10.1007/s12243-010-0194-y","Article"
"DRL-based and Bsld-Aware Job Scheduling for Apache Spark Cluster in Hybrid Cloud Computing Environments","Journal of Grid Computing","","20","4","10.1007/s10723-022-09630-1","Wenhu ShiHongjian LiHang Zeng","2022","http://link.springer.com/article/10.1007/s10723-022-09630-1","Article"
"Integrating peer-to-peer and cloud computing for massively multiuser online games","Peer-to-Peer Networking and Applications","","8","2","10.1007/s12083-013-0232-4","Hanna KavalionakEmanuele CarliniLaura RicciAlberto MontresorMassimo Coppola","2015","http://link.springer.com/article/10.1007/s12083-013-0232-4","Article"
"Truthful mechanism design for bin packing with applications on cloud computing","Journal of Combinatorial Optimization","","44","4","10.1007/s10878-020-00601-4","Deshi YeFeng XieGuochuan Zhang","2022","http://link.springer.com/article/10.1007/s10878-020-00601-4","Article"
"Low-time complexity and low-cost binary particle swarm optimization algorithm for task scheduling and load balancing in cloud computing","Applied Intelligence","","49","9","10.1007/s10489-019-01448-x","Jean Pepe Buanga MapetuZhen ChenLingfu Kong","2019","http://link.springer.com/article/10.1007/s10489-019-01448-x","Article"
"Characteristics of Cloud Computing in the Business Context: A Systematic Literature Review","Global Journal of Flexible Systems Management","","15","1","10.1007/s40171-013-0055-4","Mark StieningerDietmar Nedbal","2014","http://link.springer.com/article/10.1007/s40171-013-0055-4","Article"
