Column1;Document Title;Authors;Publication Title;Publication Year;DOI;PDF Link;Content and, if applicable, reason why it has been removed;
;Cost and Billing Practices in Cloud;Naresh Kumar Sehgal, Pramod Chandra P. Bhatt & John M. Acken;Cloud Computing with Security pp 173–191;2019;10.1007/978-3-030-24612-9_10;https://link.springer.com/chapter/10.1007/978-3-030-24612-9_10;;
;Cloud Computing – A Classification, Business Models, and Research Directions;Christof Weinhardt, Arun Anandasivam, Benjamin Blau, Nikolay Borissov, Thomas Meinl, Wibke Michalk & Jochen Stößer ;Business & Information Systems Engineering;2009;10.1007/s12599-009-0071-2;https://link.springer.com/article/10.1007/s12599-009-0071-2;;
;"An Overview of Pricing Models for Using Cloud Services with
analysis on Pay-Per-Use Model";Devesh Lowe, Bhavna Galhotra;nternational Journal of Engineering & Technology;2018;;https://www.researchgate.net/profile/Devesh-Lowe/publication/326706750_An_Overview_of_Pricing_Models_for_Using_Cloud_Services_with_analysis_on_Pay-Per-Use_Model/links/62f7317252130a3cd7197533/An-Overview-of-Pricing-Models-for-Using-Cloud-Services-with-analysis-on-Pay-Per-Use-Model.pdf;;
;Flexible Pricing Models for Cloud Computing Based on Group Decision Making Under Consensus;Arpan Kumar KarAtanu Rakshit;Global Journal of Flexible Systems Management;2015;10.1007/s40171-015-0093-1;http://link.springer.com/article/10.1007/s40171-015-0093-1;;achtung der wurde oben ausgeschlossen
;A service‐oriented taxonomical spectrum, cloudy challenges and opportunities of cloud computing;haskar Prasad Rimal and Eunmi Choi;INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS;2012;10.1002/dac.1279;https://doi.org/10.1002/dac.1279;;
